,statute_code,charge_descriptions,charge_class,charge_label,Reason
157,CR.8.205.(b),['CREDIT CARD:COUNTERFEIT' 'Credit Card:Counterfeit'],['Felony District Court' 'Felony Circuit Court' nan],5F,
193,CR.5.608.1(a),"['DIST/PWID FENTNYL/HEROIN MIX' 'DIST/PWID CDS FENTYL/HEROIN'
 'DIST/PWID FENTANYL/COCAINE MIX' 'DIST/PWID FENTANYL/HEROIN MIX']",['Felony Circuit Court'],5F,
200,CR,"[""CRED. CARD SIGN ANOTHER'S""]",['Felony District Court'],5F,
206,27 -44 -B - -,['UTTERING FORGED DOCUMENT'],['Felony District Court'],5F,
235,CR.2.204,"['Murder-Second Degree' 'MURDER-SECOND DEGREE'
 'Murder-Second Degree Aiding and Abetting']",['Felony Circuit Court' nan],5F,
239,CR.8.215.-1,['MISUSE/CREDIT CARD NOS'],['Felony District Court'],5F,
254,2-0700,['ROBBERY'],['Felony Circuit Court'],5F,
265,CR.3.602.(b),['Sex Abuse Minor' 'Sexual Child Abuse'],['Felony Circuit Court'],5F,
271,27 -44B - - -,"['UTTERING FALSE DOCUMENT (CJIS 1 2513)'
 'UTTERING FALSE DOCUMENT CJIS Code: 1 2513']",['Felony District Court' 'Converted Degree'],5F,
272,27 -44A - - -,"['FORGERY-PRIV DOCUMENTS (CJIS 1 2502)'
 'FORGERY-PRIV DOCUMENTS CJIS Code: 1 2502']",['Felony District Court' 'Converted Degree'],5F,
293,CR.6.104.(b),['Malicious Burning/First Degree' 'MALICIOUS BURNING/1ST DEG'],['Felony Circuit Court' nan],5F,
320,CR.1-301,"['Accessory After The Statute'
 'Accessory After The Statute-1st degree murder'
 'Accessory After The Fact']",['Felony Circuit Court'],5F,
342,CR.8.208.(b)(2),['CRED. CARD EQUIP TO PRODUC'],['Felony District Court' nan],5F,
353,CR.5.604,"['CDS/COUNTRFT POS W/INT DIS'
 'Cds/Counterfeit Possess With Intent To Distribute'
 'Cds/Counterfeit Create/Distribute' 'CDS/COUNTRFT CREATE/DISTR']",[nan 'Felony Circuit Court'],5F,
367,CL.14.1403,"['MISUSE/CREDIT CARD NOS' 'CREDIT CARD-UNLAWFUL POSS'
 'Credit Card-Unlawful Possession']",['Felony District Court' 'Felony Circuit Court'],5F,
372,CR.3.203.(2),"['ASSAULT SEC DEG-LE OFF/P&P AG' 'ASSAULT SEC DEG-LAW ENFORCMENT'
 'ASSAULT SEC DEG-LE/P&P/FIRE/EM' 'Assault Sec Deg-Law Enforcment Ofc'
 'Assault Sec Deg-Law Enforcment Ofc/P&P Agent'
 'ASSAULT SEC DEG-LE/P/FIRE/EMS']",[nan 'Felony District Court' 'Felony Circuit Court'],5F,
398,CR.5.617.(a)(1),"['Fake Cds Distribute:Fraud' 'Fake Cds Distribute:Fraud Cocaine'
 'Fake Cds: Possess With Intent Distribute'
 'Fake Cds: Possess With Intent Distribute-Crack/Cocaine'
 'Fake Cds Distribute' 'FAKE CDS DIST:FRAUD'
 'Fake Cds Distribute (Heroin)' 'Fake Cds Distribute (Marijuana)']",['Felony Circuit Court' nan],5F,
399,CR.8.611.(b),['COUNTERFEIT TRADEMARK/$1000+' 'Counterfeit Trademark/$1000+'],['Felony District Court' nan 'Felony Circuit Court'],5F,
418,CL.14.1402,['USE/DISCLOSE CREDIT CARD NOS' 'Use/Disclose Credit Card Numbers'],['Felony Circuit Court'],5F,
422,TG.13.1015,"['Transport Unstamped Cigarettes' 'TRANSPORT UNSTAMPED CIGS'
 'Transport Unstamped Cigs']",['Felony Circuit Court'],5F,
424,CR.8.103.(c),['BD CK/EMPLOYEE/UND $500' 'Bad Check/Employee/Under $500'],['Misdemeanor'],5F,
453,CR.4.103,['DISARM LAW OFFICER' 'Disarm Law Officer'],['Felony Circuit Court' nan],5F,
456,27.48,"['UTTERING' 'FORG-ORDER FOR MONEY,GOODS' 'OBTAIN GOODS, MONEY-FORGERY'
 'Uttering']",['Felony Circuit Court'],5F,
475,CR.8.209.(a),"['FALSE CRD CRD: CHRG GOODS + $5' 'FLSE CRD CRD CHRG GOOD $10K -<$100K'
 'FLSE CRD CRD CHRG GOOD $10K -<']",['Felony District Court'],5F,
528,27.286A,['Cds:Import Into State'],['Felony Circuit Court'],5F,
533,IN.27.403(2),['Fraud - Insurance'],['Felony District Court'],5F,
538,2-0480,['MOTOR VEH/UNLAWFUL TAKING'],['Felony District Court'],5F,
554,CL -141403 - - -,['MISUSE/CREDIT CARD NOS (CJIS 3 2210)'],['Felony District Court'],5F,
555,27 -286B - - -,"['FAKE CDS DIST:FRAUD (CJIS 7 0000)'
 'FAKE CDS DIST:FRAUD CJIS Code: 7 0000'
 'NON-CDS USED AS CDS:DIST (CJIS 1 0246)']",['Felony Circuit Court' 'Converted Degree'],5F,
583,CR -7-105 - - -,['MOTOR VEH/UNLAWFUL TAKING (CJIS 2_0480)'],['Felony District Court'],5F,
589,CR.3.602,['Sex Abuse Minor' 'Child Selling'],['Felony Circuit Court' 'Converted Degree' 'Misdemeanor'],5F,
606,CR -5-612 - - -,"['NARC-POSS W/INTENT-LG AMT (CJIS 2_0231)'
 'CONSP. CDS:P W/I DIST: NARC (CJIS 2C0231)']",['Felony Circuit Court'],5F,
627,8.801.(b),['Obtn Prop Of Vul Adult-Ovr $500'],['Felony Circuit Court'],5F,
632,CR.4.109.(e)(2),['USE ELEC CTRL DEV- CRIME VIOL'],['Felony Circuit Court'],5F,
650,CR.5.614.(b),['Cds:Import 5-45 Kilo Marihuana' 'CDS:IMPORT 5-45 KILO MARI'],['Felony Circuit Court'],5F,
662,CR -8-602 - - -,['UTTERING FALSE DOCUMENTS (CJIS 1_2513)' 'UTTERING FALSE DOCUMENTS'],['Felony District Court'],5F,
668,CR -2-205 - - -,['ATT 1ST DEG MURDER'],['Felony Circuit Court'],5F,
670,27.286B.(b),['Fake Cds Distribute:Fraud'],['Felony Circuit Court'],5F,
683,27 -141 - - -,"['BD CK/UTTER/NSF/$500 OR MORE&UP (CJIS 3 4040)'
 'BD CK/UTTER/NSF/UND $300 CJIS Code: 1 0462'
 'BD CK/UTTER/NSF/$300 & UP (CJIS 1 0170)']",['Felony District Court' 'Converted Degree'],5F,
706,27.281A,['Firearm/Drug Trafficking Crime'],['Felony Circuit Court'],5F,
719,27 -407 - - -,['MURDER-FIRST DEGREE (CJIS 2 0900)'],['Felony Circuit Court'],5F,
723,27.286.(f).(1),"['Cds Possess With Intent - Large Amount'
 'Narcotic - Possess With Intent- Large Amount']",['Felony Circuit Court'],5F,
724,CR.11.305.(a)(1),['Prostitution-Under 16'],['Felony Circuit Court'],5F,
731,1-0493,['FIREARM/DRUG TRAF CRIME'],['Felony Circuit Court'],5F,
755,CR -5-621 -B-1 - -,['FIREARM/DRUG TRAF CRIME (CJIS 1_0493)'],['Felony Circuit Court'],5F,
756,27.151A,['FALSE STMT-BOMB RUMOR' 'FALSE STMT-DESTRUCTIVE DEV'],['Misdemeanor' 'Felony Circuit Court'],5F,
768,CR.10.606.(b)(1)(2),['AGGRAVATED CRUELTY ANIMAL'],['Felony District Court'],5F,
803,CR.8.605.(a)(1),['FORGERY-PUBLIC DOCUMENT' 'Forge/Counterfeit-Public Document'],[nan 'Felony Circuit Court' 'Felony District Court'],5F,
804,27 -286A - - -,['CDS-BRING INTO THE STATE' 'CDS:IMPORT INTO STATE (CJIS 3 3550)'],['Felony Circuit Court'],5F,
806,CR.8.103(a),"['BD CK/ISSUE/NSF/$1,500-<$25K']",['Felony District Court'],5F,
820,CR.9.504.(b),['False Statement-Destructive Device' 'FALSE STMT-DESTRUCTIVE DEV'],['Felony Circuit Court'],5F,
835,A6-103,['Att: Arson in the Second Degree(A6-103)'],['Felony Circuit Court'],5F,
838,6-104(b),['Maliciously set fire to or burn the personal property of another First Degre(6-104(b))'],['Felony Circuit Court'],5F,
848,27.145.(c).-6,"[""CRED. CARD SIGN ANOTHER'S""]",['Felony District Court'],5F,
859,27.407,['Murder-First Degree'],['Felony Circuit Court'],5F,
889,CJ.10.402,"['WIRETAPPING' 'Interception Of Communication' 'DISCLOSE/USE WIRETAP'
 'INTERCEPTION OF COMMUNICATION']",[nan 'Felony Circuit Court'],5F,
890,CR.8.205.(c),"[""CRED. CARD SIGN ANOTHER'S""]",[nan 'Felony Circuit Court'],5F,
893,CR.5.605(a)(1),['CDS: COM NUIS: ADMIN NARC' 'CDS: Com Nuis: Admin Narc'],['Felony Circuit Court'],5F,
904,27.36A1,['Disarm Law Officer' 'DISARM LAW OFFICER'],['Felony Circuit Court'],5F,
910,27.286.(g),['Cds-Drug Kingpin'],['Felony Circuit Court'],5F,
916,CL.8.205.(c),"[""Credit Card Sign Another's""]",['Felony Circuit Court'],5F,
968,1-2513,['UTTERING FALSE DOCUMENT'],['Felony District Court'],5F,
976,1-2540,['COUNTERFEIT TRADEMARK/$1000+'],['Felony District Court'],5F,
978,CP.5-211.(b),['Fail To Appear / Felony Defendant'],['Felony Circuit Court'],5F,
985,CR.8.301 (c)(2)(i)(ii),['FRAUD ID INFO THFT $25K-<100K'],['Felony District Court'],5F,
1010,CR -8-601 -A - -,['FORGERY-PRIV DOCUMENTS (CJIS 1_2502)'],['Felony District Court'],5F,
1027,CR.5.617,"['Distribution of Non-Cds (Cocaine)'
 'Possession With Intent to Distribute Non CDS']",['Felony Circuit Court'],5F,
1055,CR.1.301,['ACCESSORY AFTER THE STATUTE'],['Felony Circuit Court'],5F,
1061,3-4125,['CRED CARD ANOTHER CHARG +$500'],['Felony District Court'],5F,
1080,IN.27.406,['Ins-False Applicatn -$300'],['Misdemeanor'],5F,
1128,27.18,['Bigamy'],['Felony Circuit Court'],5F,
1161,CR.5.613,['Cds-Drug Kingpin' 'CDS-DRUG KINGPIN'],['Felony Circuit Court' nan],5F,
1228,CP.5.211.(c),['FTA/FELONY DEFENDANT'],['Felony District Court'],5F,
1234,CR.9.505,['PHONEY DEST DEVICE'],['Felony Circuit Court'],5F,
1257,27.33,"['B&E & Stealing-Shop, Etc']",['Felony Circuit Court'],5F,
152,CR.8.205.(b),['CREDIT CARD:COUNTERFEIT' 'Credit Card:Counterfeit'],['Felony District Court' 'Felony Circuit Court'],5F,
406,CR.8.205.(c),"[""CRED. CARD SIGN ANOTHER'S""]",['Felony Circuit Court'],5F,
950,CR.8.207.(a)(1)(i),['CRD CRD SELL UNLWF USE + $500'],['Felony District Court'],5F,
659,CR.8.208.(b)(1),"['Credit Card: Possess Incomplete With Intent To Complete'
  'CRED. CARD INCOMP. POSSESS']",['Felony Circuit Court' 'Felony District Court'],5F,
1004,CR.8.208.(b)(2),['CRED. CARD EQUIP TO PRODUC' 'Credit Card: Possess Equipment To Produce'],['Felony District Court' 'Felony Circuit Court'],5F,
417,CR.8.209.(a),"['FLSE CRD CRD CHRG GDS $1K TO <' 'FALSE CRD CRD: CHRG GOODS + $5'
  'False Crd Crd Chrg Goods $1500 To <$25k'
  'False Credit Card: Charge Goods Over $500']",['Felony District Court' 'Felony Circuit Court'],5F,
60,CR.8.214,"['USE/DISCLOSE CREDIT CARD NOS' 'Use/Disclose Credit Card Numbers'
  'USE/DISCLOSE SIGNATURE' 'Use/Disclose Signature']",['Felony District Court' 'Felony Circuit Court'],5F,
1080,CR.8.215.-1,['MISUSE/CREDIT CARD NOS'],['Felony District Court'],5F,
1184,CR.8.301 (c)(2)(i)(ii),['FRAUD ID INFO THFT $25K-<100K'],['Felony District Court'],5F,
1265,CR.8.509.-2,['OBTAIN BENEFITS BY FALSE REP$5'],['Felony Circuit Court'],5F,
1112,CR.8.509.-4,['FLS REP-DEFRAUD HEALTH CARE $5'],['Felony Circuit Court'],5F,
1330,CR.8.509.(4),['False Representation-Defraud Health Care $500+'],['Felony Circuit Court'],5F,
22,CR.8.601.(a),"['Forgery And Counterfeit-Private Documents' 'FORGERY-PRIV DOCUMENTS'
  'Counterfeit-Private Documents']",['Felony Circuit Court' 'Felony District Court'],5F,
21,CR.8.602,"['Uttering False Document' 'ISSUE FALSE DOCUMENT' 'Issue False Document'
  'UTTERING FALSE DOCUMENT' 'Issue - Private Document'
  'Uttering - Private Document']",['Felony Circuit Court' 'Felony District Court'],5F,
583,CR.8.605.(a)(1),['Forge/Counterfeit-Public Document' 'FORGERY-PUBLIC DOCUMENT'],['Felony Circuit Court' 'Felony District Court'],5F,
149,CR.8.609.(b)(1),"['FORG-ORDER FOR MONEY,GOODS'
  'Alter/Forge/Counterfeit-Order For Money/Goods Etc.']",['Felony District Court' 'Felony Circuit Court'],5F,
155,CR.8.609.(b)(2),['ISSUE COUNTERFEIT ORDER' 'UTTERING' 'Issue Counterfeit Order' 'Uttering'],['Felony District Court' 'Felony Circuit Court'],5F,
102,CR.8.609.(b)(3),"['OBTAIN GOODS, MONEY-FORGERY' 'Obtain Goods, Money-Forgery']",['Felony District Court' 'Felony Circuit Court'],5F,
366,CR.8.611.(b),['COUNTERFEIT TRADEMARK/$1000+' 'Counterfeit Trademark/$1000+'],['Felony Circuit Court' 'Felony District Court'],5F,
856,CR.8.611.(c),['Counterfeit Trademark/$1000+'],['Felony Circuit Court'],5F,
1494,CR.8.611(b),['CNTERFEIT TRADEMARK/$1500+'],['Felony District Court'],5F,
470,CR.9.504.(b),['False Statement-Destructive Device' 'FALSE STMT-DESTRUCTIVE DEV'],['Felony Circuit Court'],5F,
1313,CR.9.505,['Phoney Destructive Device'],['Felony Circuit Court'],5F,
1450,IN.27.403.(1),['FAIL RETURN PAYMENT $300+'],['Felony District Court'],5F,
936,IN.27.403(2),['Fraud - Insurance'],['Felony District Court'],5F,
1419,IN.27.406,['Ins-False Applicatn $300+'],['Felony Circuit Court'],5F,
1442,IN.27.406.(1),['FALSE STMT: INSUR APP $300+'],['Felony District Court'],5F,
1114,RP.10.502,['Cust. Home Prot. Act-Trust'],['Felony Circuit Court'],5F,
218,TG.13.1015,"['Transport Unstamped Cigarettes' 'TRANSPORT UNSTAMPED CIGS'
  'Transport Unstamped Cigs']",['Felony Circuit Court'],5F,
0,CR.7.104,"['THEFT:LESS $500 VALUE' 'THEFT: LESS $1,000 VALUE'
 'THEFT:$10,000 TO UND $100,000' 'THEFT: $500 PLUS VALUE'
 'Theft:$10,000 To Und $100,000' 'THEFT-SCHEME: $500 PLUS'
 'Theft:Less $500 Value' 'THEFT: $1,000 TO UNDER $10,000'
 'THEFT SCHEME:$100 TO <$1,500' 'Theft: $500 Plus Value'
 'Theft-Scheme: $500 Plus' 'Theft: Less $1,000 Value'
 'Theft-Scheme: $100,000 Plus' 'Theft-Scheme: $10,000 To Under $100,000'
 'Theft: $1,000 To Under $10,000' 'THEFT-SCHEME: LESS $1000'
 'THEFT: $100 TO UNDER $1,500' 'THEFT-SCHEME:$LESS $500'
 'THEFT-SCHEME:1K TO UNDER 10K' 'Theft-Scheme: $1000 To Under $10,000'
 'THEFT LESS THAN $100.00' 'Theft-Scheme: Less $500 Value'
 'THEFT: $25,000 TO UND $100,000' 'THEFT: $100,000 PLUS'
 'THEFT-SCHEME: $100,000 PLUS' 'Theft:$10,000 To Under $100,000'
 'THEFT-SCHEME:10K TO UND 100K' 'Theft Scheme: $1,500 To Under $25,000'
 'THEFT: LESS $100.00 VALUE' 'Theft Less Than $100.00'
 'Theft-Scheme: Less $1000' 'THEFT: $1,500 TO UNDER $25,000'
 'Theft: $100 To Under $1,500' 'THEFT:LESS $100' 'THEFT:LESS $100 VALUE'
 'THEFT:$10,000 TO UNDER $100,00' 'THEFT-1K TO UNDER 10K'
 'THEFT SCHEME: $1,500 TO <$25K' 'Theft: $100,000 Plus'
 'Theft Scheme: $100 To Under $1,500' 'THEFT SCHEME: LESS $100'
 'Theft Scheme: $25,000 To Under $100,000' 'THEFT-SCHEME: LESS $100'
 'THEFT SCHEME: $25K TO <$100K' 'Theft: $1,500 To Under $25,000'
 'Theft - Scheme: $1,000 to Under $10,000' 'THEFT SCHEME: $100,000 PLUS'
 'Theft Scheme: $1,000 To Under $10,000' 'THEFT UNDER $1000'
 'Theft of Motor Fuel: Less Than $100.00'
 'Theft:Less $500 Value (Violation of Probation)' 'Theft Plus $500.'
 'Conspiracy - Theft: $10,000 to under $100,000'
 'THEFT SCHEME: $25,000 TO UNDER $100,000; CJIS#: 11139'
 'THEFT-SCHEME: $100,000 PLUS; CJIS#: 10634' 'THEFT: LESS $100 VALUE'
 'Theft: $1,000 to under $10,000' 'Theft-Scheme: $1,000 To Under $10,000'
 'THEFT: $500 UNDER VALUE' 'THEFT: $1,000 TO UNDER $10,000 - VOP APPEAL'
 'Theft-Scheme: Less $1000 (VOP)' 'Theft-Scheme: $1500 To Under $25,000'
 'Theft: $10,000 To Und $100,000']","['Misdemeanor' nan 'Felony District Court' 'Felony Circuit Court'
 'Converted Degree']",5M,
